Day;Type;F0;Fj;Fm;FI;F300mks;F50mks;t(Fm);Vj;VI;phi P0 (Fv/Fm);phi E0;phi R0;phi D0;psi E0;dalta R0;M0;ABS/RC;TR0/RC;DI0/RC;ET0/RC;RE0/RC;RC/CS0;Am;SM;SS;N;Vav
3;Fe-;0.717;1.48;2.907;2.567;1.363;0.811;170;0.348401826;0.844748858;0.753353973;0.490884073;0.116959064;0.246646027;0.651598174;0.238262088;1.179908676;4.495405663;3.386631717;1.108773946;2.206723041;0.52577844;0.159496173;34.537;15.77031963;0.295278638;53.40826466;0.907233414
3;Fe-;0.788;1.816;2.924;2.658;1.676;0.912;153;0.481273408;0.875468165;0.730506156;0.378932969;0.090971272;0.269493844;0.518726592;0.240072202;1.662921348;4.729943602;3.455252918;1.274690683;1.79233157;0.430288987;0.166598181;28.555;13.36844569;0.289414414;46.19136099;0.912624538
3;Fe+N-;0.763;1.716;2.84;2.546;1.526;0.865;146;0.458834858;0.858449687;0.731338028;0.395774648;0.103521127;0.268661972;0.541165142;0.261565836;1.469427058;4.378985147;3.202518363;1.176466784;1.733091305;0.453317477;0.174241285;27.844;13.40587386;0.31225426;42.9325572;0.908178946
3;Fe+N-;0.705;1.521;2.791;2.448;1.368;0.798;167;0.391179291;0.83557047;0.747402365;0.455034038;0.12289502;0.252597635;0.608820709;0.27007874;1.271332694;4.348394056;3.25;1.098394056;1.978667306;0.534395973;0.162128821;33.706;16.15819751;0.307692308;52.5141419;0.903244326
3;Fe+N-;0.716;1.573;2.866;2.422;1.365;0.805;161;0.398604651;0.793488372;0.750174459;0.451151431;0.154919749;0.249825541;0.601395349;0.343387471;1.20744186;4.037956093;3.029171529;1.008784565;1.821729668;0.625559144;0.177317431;33.465;15.56511628;0.330123267;47.14940707;0.903322259
3;Fe+N-;0.744;1.618;2.922;2.585;1.458;0.847;163;0.401285583;0.845270891;0.745379877;0.446269678;0.115331964;0.254620123;0.598714417;0.258435583;1.311294766;4.383985476;3.267734554;1.116250922;1.956439788;0.505613657;0.169708591;30.228;13.87878788;0.306022409;45.35219472;0.914854062
3;Fe-N-;0.827;1.941;2.8;2.616;1.721;0.947;130;0.564622402;0.906741004;0.704642857;0.306785714;0.065714286;0.295357143;0.435377598;0.214202561;1.812468322;4.555575676;3.21005386;1.345521816;1.397585538;0.299366402;0.181535784;18.127;9.187531678;0.311521253;29.49247153;0.929326679
3;Fe-N-;0.756;1.757;2.719;2.501;1.751;0.861;145;0.509933775;0.888945492;0.721956602;0.353806547;0.080176535;0.278043398;0.490066225;0.226611227;2.027508915;5.50728945;3.976023976;1.531265474;1.948515061;0.441555388;0.137272611;19.939;10.15741212;0.251507538;40.38611414;0.929948882
3;Fe-N-;0.71;1.456;2.818;2.454;1.304;0.79;163;0.353889943;0.827324478;0.748048261;0.483321505;0.129169624;0.251951739;0.646110057;0.267254038;1.127134725;4.25772876;3.184986595;1.072742164;2.05785187;0.549969222;0.166755573;32.145;15.24905123;0.313973064;48.56802377;0.906447538
3;Fe-N-;0.83;1.902;2.745;2.57;1.722;0.949;132;0.559791123;0.908616188;0.697632058;0.307103825;0.063752277;0.302367942;0.440208877;0.207591934;1.863185379;4.770936441;3.328358209;1.442578232;1.46517283;0.304158061;0.173970039;17.533;9.155613577;0.30044843;30.47316161;0.930639291
